timestamp,underlying,atm_iv
2026-09-01T15:17:32.952481,DIA,0.1119
2026-09-01T15:32:31.803740,DIA,0.1082
2026-09-01T15:54:09.309006,DIA,0.126
2026-09-01T16:09:06.287245,DIA,0.1193
2026-09-01T16:25:20.678512,DIA,0.1284
2026-09-01T16:40:17.713840,DIA,0.1166
2026-09-01T16:55:13.163300,DIA,0.118
2026-09-01T17:10:15.410412,DIA,0.1182
2026-09-01T17:25:13.877843,DIA,0.1382
2026-09-01T17:40:18.716294,DIA,0.1329
2026-09-01T17:55:13.138300,DIA,0.127
2026-09-01T18:10:16.615742,DIA,0.1307
2026-09-01T18:27:16.343155,DIA,0.1339
2026-09-01T18:32:49.090256,DIA,0.1184
2026-09-01T18:47:44.731998,DIA,0.1379
2026-09-01T19:02:45.855851,DIA,0.1312
2026-09-01T19:17:47.214959,DIA,0.1125
2026-09-01T19:32:46.473482,DIA,0.1302
2026-09-01T19:47:46.727696,DIA,0.1198
2026-09-02T14:30:38.022397,DIA,0.1243
2026-09-02T14:45:30.648762,DIA,0.1232
2026-09-02T15:00:34.404493,DIA,0.1271
2026-09-02T15:15:30.029373,DIA,0.1274
2026-09-02T15:30:33.670948,DIA,0.1072
2026-09-02T15:45:40.727898,DIA,0.1141
2026-09-02T16:01:09.474188,DIA,0.1293
2026-09-02T16:15:25.775644,DIA,0.1137
2026-09-02T16:30:33.032845,DIA,0.1208
2026-09-02T16:45:28.464581,DIA,0.1196
2026-09-02T17:00:51.554019,DIA,0.1096
2026-09-02T17:15:26.902148,DIA,0.1256
2026-09-02T17:30:29.319800,DIA,0.1051
2026-09-02T17:45:32.161780,DIA,0.127
2026-09-02T18:00:30.748612,DIA,0.1275
2026-09-02T18:15:28.839987,DIA,0.1082
2026-09-02T18:30:52.398610,DIA,0.1055
2026-09-02T18:45:52.141128,DIA,0.1136
2026-09-02T19:00:36.608844,DIA,0.106
2026-09-02T19:15:24.203522,DIA,0.1089
2026-09-02T19:30:31.908006,DIA,0.1259
2026-09-02T19:45:30.220905,DIA,0.1066
2026-09-03T13:31:10.294779,DIA,0.1739
2026-09-03T13:46:11.827157,DIA,0.1595
2026-09-03T14:01:13.207025,DIA,0.1528
2026-09-03T14:16:08.844157,DIA,0.154
2026-09-03T14:31:06.243694,DIA,0.111
